StreetA,OddA1,OddA2,EvA1,EvA2,WardA,SubwardA,StreetB,OddbB,OddB2,EvB1,EvB2,WardB,SubwardB
PETERLEE AVE,1,31,8.0,22,3.0,23.0,PICKERING TOWN LINE,,,2.0,18.0,25.0,10.0
PETERSON DR,1,67,6.0,62,7.0,46.0,PICKFORD RD,3.0,35.0,2.0,32.0,24.0,38.0
PETHICK ST,3,17,4.0,24,20.0,5.0,PICKTHALL TER,3.0,27.0,4.0,16.0,24.0,12.0
PETIOLE RD,5,53,6.0,60,7.0,39.0,PICOLA CRT,9.0,101.0,10.0,100.0,17.0,11.0
PETMAN AVE,19,105,2.0,86,15.0,57.0,PICTON CRES,3.0,19.0,,,6.0,40.0
PETROLIA RD,555,1173,550.0,1100,6.0,15.0,PICTORIAL ST,1.0,17.0,,,25.0,41.0
PETTIBONE SQ,3,99,4.0,94,22.0,17.0,PICTORIAL ST,,,2.0,28.0,25.0,42.0
PETTIT DR,3,93,4.0,96,2.0,3.0,PIDGEON ST,1.0,141.0,88.0,112.0,20.0,5.0
PETWORTH CRES,3,171,4.0,174,22.0,42.0,PIGGOTT MEWS,5.0,115.0,2.0,28.0,5.0,17.0
PEVERIL HILL N,1,35,8.0,40,12.0,9.0,PILGRIM CRT,,,6.0,10.0,5.0,35.0
PEVERIL HILL S,3,27,8.0,26,12.0,9.0,PILKEY CRES,3.0,87.0,30.0,86.0,25.0,17.0
PEWTER RD,,,8.0,8,18.0,85.0,PILKINGTON DR,1.0,165.0,2.0,160.0,20.0,43.0
PEWTER RD,35,35,,,18.0,84.0,PILKINGTON DR,167.0,169.0,,,20.0,48.0
PEYTON LANE,9,35,38.0,38,14.0,44.0,PILOT ST,1.0,57.0,2.0,56.0,24.0,36.0
PHALEN CRES,3,133,4.0,132,23.0,5.0,PIMLICO RD,11.0,15.0,2.0,2.0,5.0,30.0
PHARMACY AVE,3,125,14.0,94,20.0,56.0,PIN LANE,3.0,49.0,6.0,48.0,24.0,47.0
PHARMACY AVE,255C,501,274.0,460,20.0,49.0,PINDAR CRES,1.0,121.0,10.0,120.0,17.0,50.0
PHARMACY AVE,555,667,500.0,686,20.0,2.0,PINE AVE,7.0,31.0,14.0,30.0,19.0,62.0
PHARMACY AVE,671,809X,,,20.0,3.0,PINE AVE,33.0,33.0,,,19.0,63.0
PHARMACY AVE,,,690.0,754,20.0,1.0,PINE AVE,,,44.0,126.0,19.0,41.0
PHARMACY AVE,865,887,860.0,940,21.0,56.0,PINE CRES,1.0,81.0,6.0,94.0,19.0,62.0
PHARMACY AVE,905,1001,944.0,982,21.0,55.0,PINE CREST RD,53.0,105.0,48.0,112.0,4.0,9.0
PHARMACY AVE,,,984.0,1108,21.0,54.0,PINE FOREST RD,3.0,11.0,,,15.0,22.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
PINE GLEN RD,105.0,123,110,114.0,19.0,62.0,PLAXTON CRES,,,2.0,12,19.0,10.0
PINE HILL RD,5.0,15,6,16.0,11.0,24.0,PLAXTON DR,1.0,49.0,2.0,40,19.0,10.0
PINE RIDGE DR,1.0,55,2,50.0,20.0,28.0,PLAXTON DR,,,48.0,50,19.0,4.0
PINE ST,5.0,25,4,100.0,5.0,23.0,PLAYDELL CRT,1.0,5.0,2.0,4,1.0,18.0
PINE ST,35.0,43,,,5.0,15.0,PLAYFAIR AVE,21.0,103.0,,,8.0,19.0
PINE TER,,,2,18.0,19.0,62.0,PLAYFAIR AVE,,,40.0,40,8.0,22.0
PINEBROOK AVE,5.0,67,12,78.0,16.0,67.0,PLAYFAIR AVE,,,42.0,90,8.0,19.0
PINECONE DR,5.0,39,2,58.0,1.0,32.0,PLAYFAIR AVE,109.0,177.0,98.0,172,8.0,17.0
PINEDALE RD,9.0,11,,,15.0,22.0,PLAYTER BLVD,1.0,51.0,,,14.0,15.0
PINEDALE RD,,,12,28.0,15.0,21.0,PLAYTER BLVD,,,2.0,12,14.0,14.0
PINEGROVE AVE,1.0,107,12,160.0,20.0,41.0,PLAYTER BLVD,,,22.0,60,14.0,15.0
PINEHILL CRES,,,2,24.0,5.0,50.0,PLAYTER CRES,1.0,19.0,,,14.0,14.0
PINEHURST CRES,3.0,55,4,30.0,2.0,39.0,PLAYTER CRES,31.0,53.0,2.0,54,14.0,15.0
PINEMEADOW BLVD,31.0,69,34,82.0,22.0,31.0,PLEASANT AVE,9.0,57.0,,,18.0,9.0
PINEMEADOW BLVD,79.0,81,,,22.0,38.0,PLEASANT AVE,107.0,237.0,10.0,260,18.0,8.0
PINEMORE CRES,1.0,99,2,96.0,16.0,11.0,PLEASANT AVE,253.0,345.0,262.0,348,18.0,5.0
PINERY TRL,55.0,137,8,150.0,23.0,36.0,PLEASANT BLVD,7.0,107.0,2.0,118,12.0,36.0
PINESLOPE CRES,15.0,45,4,42.0,24.0,10.0,PLEASANT HOME BLVD,7.0,23.0,8.0,22,6.0,42.0
PINEWAY BLVD,7.0,239,2,254.0,17.0,14.0,PLEASANT VIEW DR,11.0,25.0,,,17.0,46.0
PINEWOOD AVE,1.0,53,2,44.0,12.0,60.0,PLEASANT VIEW DR,27.0,95.0,12.0,96,17.0,36.0
PINEWOOD AVE,55.0,195,50,196.0,12.0,52.0,PLEASANT VIEW DR,103.0,161.0,,,17.0,49.0
PINNACLE RD,9.0,69,20,68.0,15.0,5.0,PLEASANT VIEW DR,,,110.0,176,17.0,35.0
PINOAK ST,3.0,41,2,40.0,23.0,16.0,PLEWES RD,31.0,169.0,30.0,170,6.0,38.0
PINTAIL CRES,1.0,105,2,116.0,16.0,11.0,PLOVER RD,,,2.0,8,24.0,17.0
PINTO DR,21.0,77,22,46.0,17.0,33.0,PLOVER RD,3.0,5.0,,,24.0,18.0
PIONEER AVE,21.0,57,22,58.0,5.0,50.0,PLOWSHARE CRES,1.0,77.0,10.0,56,1.0,2.0
PIONEER PTWY,39.0,43,2,86.0,25.0,14.0,PLUG HAT RD,,,2.0,8X,25.0,10.0
PIPERBROOK CRES,,,2,92.0,25.0,53.0,PLUM BROOK CRES,1.0,73.0,2.0,68,23.0,45.0
