StreetA,OddA1,OddA2,EvA1,EvA2,WardA,SubwardA,StreetB,OddbB,OddB2,EvB1,EvB2,WardB,SubwardB
ROGERS RD,201.0,215,,,9.0,2.0,ROPER RD,,,2.0,10.0,20.0,5.0
ROGERS RD,,,250,382,9.0,3.0,RORY RD,3.0,69.0,4.0,250.0,5.0,6.0
ROGERS RD,291.0,363,,,9.0,4.0,ROSALIE AVE,1.0,27.0,2.0,28.0,7.0,56.0
ROGERS RD,397.0,481,,,9.0,5.0,ROSALIND CRES,1.0,25.0,2.0,20.0,20.0,1.0
ROGERS RD,,,404,580,5.0,41.0,ROSCOE RD,1.0,17.0,2.0,16.0,25.0,25.0
ROGERS RD,485.0,605,598X,598X,5.0,42.0,ROSE AVE,1.0,47.0,44.0,62.0,13.0,30.0
ROGERS RD,,,600,612B,5.0,67.0,ROSE AVE,135.0,135.0,,,13.0,26.0
ROGERS RD,,,616,644,5.0,42.0,ROSE PARK CRES,1.0,17.0,2.0,46.0,11.0,26.0
ROKER CRES,5.0,53,2,52,22.0,64.0,ROSE PARK DR,21.0,331.0,2.0,310.0,11.0,26.0
ROLARK DR,15.0,51,2,80,21.0,3.0,ROSE VALLEY CRES,15.0,21.0,2.0,26.0,5.0,56.0
ROLLAND RD,1.0,11,2,10,15.0,51.0,ROSEBANK DR,19.0,29.0,6.0,28.0,23.0,43.0
ROLLET DR,1.0,19,2,16,5.0,9.0,ROSECLIFFE AVE,3.0,21.0,2.0,42.0,9.0,8.0
ROLLING MEADOWS,1.0,17,4,16,25.0,33.0,ROSEDALE HEIGHTS DR,13.0,271.0,16.0,242.0,11.0,27.0
ROLLING MILLS RD,,,40,40,13.0,81.0,ROSEDALE RD,1.0,51.0,2.0,52.0,11.0,24.0
ROLLING MILLS RD,,,70,70,13.0,86.0,ROSEDALE VALLEY RD,,,100.0,290.0,11.0,24.0
ROLLINGWOOD DR,5.0,43,6,40,17.0,11.0,ROSEDALE VALLEY RD,145.0,425.0,,,11.0,23.0
ROLLINS PL,1.0,11,2,12,3.0,23.0,ROSEDALE VALLEY RD,,,450.0,516.0,11.0,30.0
ROLLSCOURT DR,1.0,19,2,20,15.0,6.0,ROSEDALE VALLEY RD,,,690.0,1150.0,11.0,31.0
ROLLSCOURT DR,31.0,65,32,62,15.0,3.0,ROSEFAIR CRES,3.0,55.0,4.0,32.0,1.0,35.0
ROLPH RD,1.0,31,2,50,15.0,53.0,ROSEGLEN CRES,5.0,69.0,2.0,70.0,7.0,50.0
ROLSTON AVE,7.0,9,8,16,13.0,29.0,ROSEGLOR CRES,1.0,49.0,4.0,48.0,21.0,39.0
ROLYAT ST,3.0,41,6,38,10.0,1.0,ROSEGROVE PL,1.0,41.0,,,23.0,51.0
ROMAC DR,1.0,27,4,38,25.0,40.0,ROSEHEATH AVE,,,2.0,126.0,19.0,23.0
ROMANA DR,3.0,13,2,16,20.0,37.0,ROSEHEATH AVE,11.0,39.0,,,19.0,46.0
ROMANA DR,,,30,30,20.0,34.0,ROSEHEATH AVE,41.0,121.0,,,19.0,23.0
ROMANWAY CRES,1.0,47,2,28,5.0,25.0,ROSEHILL AVE,5.0,5.0,2.0,70.0,12.0,36.0
ROMAR CRES,1.0,19,2,20,8.0,47.0,ROSEHILL AVE,33.0,33.0,,,12.0,38.0
ROMEO ST,39.0,47,36,48,5.0,8.0,ROSEHILL AVE,75.0,75.0,,,11.0,25.0
ROMFIELD DR,1.0,49,2,52,7.0,28.0,ROSELAND DR,17.0,75.0,8.0,78.0,3.0,83.0
ROMNEY RD,1.0,23,,,2.0,40.0,ROSELAWN AVE,,,20.0,178.0,8.0,65.0
ROMNEY RD,1.0,49,,,6.0,34.0,ROSELAWN AVE,35.0,163.0,192.0,350.0,8.0,67.0
ROMNEY RD,,,2,20,2.0,40.0,ROSELAWN AVE,295.0,573.0,,,8.0,63.0
ROMNEY RD,,,6,48,6.0,34.0,ROSELAWN AVE,,,396.0,604.0,8.0,62.0
ROMULUS DR,1.0,105,2,102,21.0,49.0,ROSELAWN AVE,577.0,675.0,610.0,640.0,8.0,61.0
RON ATTWELL ST,1.0,55,2,58,7.0,57.0,ROSELAWN AVE,,,668.0,668.0,8.0,59.0
RONALD AVE,5.0,141X,8,90,8.0,48.0,ROSELAWN AVE,,,680.0,680.0,8.0,61.0
RONAN AVE,1.0,185A,,,15.0,17.0,ROSELAWN AVE,835.0,999.0,822.0,994.0,8.0,50.0
RONAN AVE,,,12,172,15.0,18.0,ROSELAWN AVE,1001.0,1039.0,1042.0,1090.0,8.0,47.0
RONAN AVE,207.0,225,210,214,15.0,11.0,ROSELAWN AVE,1101.0,1207.0,1122.0,1216.0,8.0,48.0
RONCESVALLES AVE,1.0,23,,,4.0,57.0,ROSELM RD,11.0,21.0,6.0,26.0,21.0,24.0
RONCESVALLES AVE,,,14,40,4.0,55.0,ROSEMARIE DR,1.0,17.0,2.0,16.0,21.0,25.0
RONCESVALLES AVE,27.0,125,,,4.0,54.0,ROSEMARY LANE,1.0,35.0,2.0,30.0,12.0,11.0
RONCESVALLES AVE,,,66,66A,4.0,56.0,ROSEMARY RD,193.0,225.0,180.0,226.0,12.0,10.0
RONCESVALLES AVE,,,70,228,4.0,55.0,ROSEMARY RD,235.0,417.0,302.0,430.0,12.0,11.0
RONCESVALLES AVE,127.0,209,,,4.0,52.0,ROSEMEADE AVE,11.0,61.0,8.0,66.0,3.0,32.0
RONCESVALLES AVE,211.0,299A,240,282,4.0,53.0,ROSEMOUNT AVE,,,2.0,80.0,9.0,7.0
RONCESVALLES AVE,301.0,383,288,408,4.0,51.0,ROSEMOUNT AVE,,,2.0,86.0,5.0,23.0
RONCESVALLES AVE,385.0,481,410,484,4.0,16.0,ROSEMOUNT AVE,3.0,45.0,,,9.0,7.0
RONDALE BLVD,3.0,21,2,20,8.0,30.0,ROSEMOUNT AVE,45.0,89.0,,,5.0,23.0
RONDALE BLVD,29.0,35,28,34,8.0,14.0,ROSEMOUNT AVE,65.0,125.0,84.0,120.0,9.0,10.0
RONDEAU DR,3.0,49,2,50,17.0,5.0,ROSEMOUNT AVE,91.0,177.0,,,5.0,15.0
RONSON DR,,,2,200,1.0,37.0,ROSEMOUNT AVE,,,96.0,184.0,5.0,17.0
RONWAY CRES,1.0,41,2,56,24.0,46.0,ROSEMOUNT AVE,131.0,235.0,128.0,248.0,9.0,11.0
ROOF GARDEN LANE,1.0,1,,,9.0,26.0,ROSEMOUNT AVE,205.0,253.0,192.0,232.0,5.0,3.0
ROOKSGROVE PL,5.0,11,8,12,5.0,31.0,ROSEMOUNT DR,1.0,117.0,2.0,108.0,21.0,51.0
ROOKSNEST TRL,1.0,141,4,146,23.0,31.0,ROSENEATH GDNS,1.0,113.0,2.0,114.0,9.0,6.0
ROOSEVELT RD,1.0,89,2,88,14.0,7.0,ROSETHORN AVE,3.0,75.0,12.0,76.0,9.0,13.0
ROOSEVELT RD,115.0,115,90,124,14.0,6.0,ROSETHORN AVE,77.0,195.0,78.0,210.0,9.0,5.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
ROSETHORN AVE,217,247.0,218,252.0,5.0,41.0,ROWNTREE MILL RD,,,26.0,30,7.0,2.0
ROSETTE CRT,,,2,18.0,7.0,45.0,ROWNTREE MILL RD,35,155,46.0,156,7.0,1.0
ROSEVEAR AVE,1,63.0,2,20.0,19.0,37.0,ROWNTREE RD,1,1,,,1.0,8.0
ROSEVEAR AVE,67,87.0,22,84.0,19.0,36.0,ROWNTREE RD,,,2.0,4,1.0,5.0
ROSEWELL AVE,,,2,40.0,8.0,67.0,ROWNTREE RD,3,3,,,1.0,9.0
ROSEWELL AVE,11,185.0,84,182.0,8.0,65.0,ROWNTREE RD,5,5,,,1.0,10.0
ROSEWELL AVE,,,296,380.0,8.0,42.0,ROWSE CRES,1,67,4.0,40,2.0,7.0
ROSEWELL AVE,297,401.0,,,8.0,43.0,ROXALINE ST,1,79,6.0,82,2.0,8.0
ROSEWELL AVE,,,382,460.0,8.0,40.0,ROXANNE CRES,3,241,24.0,214,23.0,6.0
ROSEWELL AVE,451,485.0,,,8.0,41.0,ROXBOROUGH DR,25,187,30.0,208,11.0,29.0
ROSEWELL AVE,515,515.0,,,8.0,40.0,ROXBOROUGH ST E,1,179,2.0,178,11.0,24.0
ROSEWOOD AVE,3,11.0,,,3.0,32.0,ROXBOROUGH ST W,9,173,2.0,144,11.0,20.0
ROSEWOOD AVE,15,25.0,8,14.0,3.0,33.0,ROXTON RD,17,221,12.0,208A,11.0,62.0
ROSITA CRES,1,33.0,2,18.0,20.0,2.0,ROXTON RD,227,409,224.0,410,11.0,61.0
ROSKELL CRES,1,55.0,2,56.0,7.0,30.0,ROXTON RD,423,557,414.0,554,11.0,2.0
ROSLIN AVE,1,155.0,10,156.0,15.0,18.0,ROXVILLE AVE,1,11,2.0,12,15.0,31.0
ROSLIN AVE,157,225.0,158,226.0,15.0,17.0,ROYAL ALBERT CRES,1,27,6.0,28,22.0,29.0
ROSS AVE,3,17.0,4,8.0,22.0,64.0,ROYAL DOULTON DR,1,27,2.0,28,16.0,18.0
ROSS ST,1,25.0,2,34.0,11.0,76.0,ROYAL OAK DR,1,21,2.0,20,15.0,15.0
ROSSANDER CRT,1,85.0,2,86.0,21.0,44.0,ROYAL PALM CRT,1,7,,,7.0,47.0
ROSSBURN DR,15,75.0,4,60.0,2.0,72.0,ROYAL PALM CRT,,,2.0,8,7.0,57.0
ROSSCOWAN CRES,1,51.0,2,52.0,22.0,33.0,ROYAL ROUGE TRL,7,107,6.0,80,25.0,26.0
ROSSCOWAN GT,1,1.0,,,22.0,33.0,ROYAL ST,1,47,2.0,46,5.0,60.0
ROSSDEAN DR,1,101.0,50,160.0,7.0,48.0,ROYAL YORK RD,,,2.0,94,3.0,67.0
ROSSEAU RD,5,25.0,8,26.0,6.0,33.0,ROYAL YORK RD,5,255,,,3.0,65.0
ROSSFORD RD,1,43.0,2,34.0,21.0,24.0,ROYAL YORK RD,269X,297,102.0,286,3.0,64.0
ROSSINI PL,,,4,14.0,24.0,41.0,ROYAL YORK RD,315,471,,,3.0,39.0
ROSSMORE RD,1,45.0,40,40.0,11.0,6.0,ROYAL YORK RD,,,340.0,340,3.0,38.0
ROSSWOOD CRES,3,11.0,2,22.0,21.0,20.0,ROYAL YORK RD,,,352.0,464,3.0,37.0
ROSTREVOR RD,1,25.0,2,26.0,12.0,9.0,ROYAL YORK RD,515,555,506.0,564,3.0,36.0
ROTARY DR,41,111.0,2,104.0,25.0,25.0,ROYAL YORK RD,575,691,620.0,718,3.0,32.0
ROTHERHAM AVE,1X,39.0,12,50.0,5.0,42.0,ROYAL YORK RD,697,763,726.0,810,3.0,28.0
ROTHMERE DR,1,31.0,2,30.0,15.0,17.0,ROYAL YORK RD,767,767,,,3.0,27.0
ROTHSAY AVE,7,59.0,8,56.0,3.0,33.0,ROYAL YORK RD,825X,935,,,3.0,25.0
ROTHWELL RD,1,37.0,4,40.0,21.0,1.0,ROYAL YORK RD,,,832.0,832,3.0,24.0
ROTUNDA PL,,,2,14.0,22.0,48.0,ROYAL YORK RD,,,840.0,934,3.0,25.0
ROUGE HIGHLANDS DR,289,299.0,286,300.0,25.0,30.0,ROYAL YORK RD,945,1081,,,3.0,3.0
ROUGE HIGHLANDS DR,317,453.0,306,452.0,25.0,28.0,ROYAL YORK RD,,,946.0,1090,3.0,6.0
ROUGE HILLS DR,189,499.0,194,346.0,25.0,29.0,ROYAL YORK RD,1083,1115,,,3.0,1.0
ROUGE HILLS DR,505,583.0,350,580.0,25.0,28.0,ROYAL YORK RD,1135,1135,1110.0,1204,2.0,39.0
ROUGE RIVER DR,1,237.0,62,236.0,25.0,18.0,ROYAL YORK RD,1137,1141,,,2.0,38.0
ROUGHFIELD CRES,5,89.0,6,88.0,23.0,30.0,ROYAL YORK RD,1151X1225,,,,2.0,39.0
ROUGHWOOD CRT,1,7.0,2,8.0,7.0,54.0,ROYAL YORK RD,1237  1293,,1208.0,1310,2.0,40.0
ROUNDWOOD CRT                                   2        44         22   039          ROYAL YORK RD               1305  1399     1312X1336     02   034,,,,,,,,,,,,,
ROUTLIFFE LANE,11,69.0,10,78.0,18.0,26.0,ROYAL YORK RD,1403,1411X,,,2.0,15.0
ROVINELLI RD,1,51.0,2,50.0,25.0,9.0,ROYAL YORK RD,1415,1435,,,2.0,18.0
ROWALLAN DR,3,45.0,2,50.0,24.0,40.0,ROYAL YORK RD,,,1428.0,1526X,2.0,19.0
ROWAN AVE,1,1.0,,,9.0,1.0,ROYAL YORK RD,1447,1447,,,2.0,17.0
ROWANWOOD AVE,1,71.0,10X,80.0,11.0,24.0,ROYAL YORK RD,1451,1543,,,2.0,18.0
ROWATSON RD,17,83.0,2,82.0,24.0,42.0,ROYAL YORK RD,,,1532.0,1570,2.0,7.0
ROWENA DR,75,75.0,50,70.0,16.0,14.0,ROYAL YORK RD,1547,1579,,,2.0,8.0
ROWENA DR,,,100,100.0,16.0,16.0,ROYALAVON CRES,19,181,16.0,186,3.0,9.0
ROWENA DR,105,105.0,,,16.0,17.0,ROYALCREST RD,,,2.0,100,1.0,1.0
ROWLAND ST,1,29.0,16,54.0,4.0,9.0,ROYALCREST RD,9,103,,,1.0,7.0
ROWLEY AVE,9,57.0,2,56.0,15.0,29.0,ROYALEIGH AVE,1,31,2.0,30,2.0,8.0
ROWNTREE AVE,,,2,108.0,9.0,5.0,ROYALWOOD CRT,1,7,2.0,8,2.0,25.0
ROWNTREE AVE,3,39.0,,,9.0,13.0,ROYCREST AVE,1,23,2.0,22,18.0,87.0
ROWNTREE AVE,51,113.0,,,9.0,5.0,ROYDAWN CRT,,,4.0,14,25.0,38.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
ROYDAWN CRT,,,24.0,50.0,25.0,35.0,RUSSELL RD,,,4,30,2.0,20.0
ROYWOOD DR,7.0,69.0,2.0,68.0,16.0,7.0,RUSSELL RD,19.0,47,,,2.0,19.0
ROYWOOD DR,71.0,159.0,72.0,160.0,16.0,6.0,RUSSELL ST,17.0,25,2,16,11.0,53.0
ROYWOOD DR,169.0,267.0,162.0,284.0,16.0,4.0,RUSSELL ST,33.0,33,22,50,11.0,57.0
ROZELL RD,,,2.0,2.0,25.0,36.0,RUSSETT AVE,7.0,131,2,130,9.0,30.0
ROZELL RD,21.0,33.0,4.0,28.0,25.0,28.0,RUSSFAX DR,39.0,61,40,62,6.0,5.0
RUBIC CRES,3.0,87.0,6.0,82.0,23.0,51.0,RUSTIC RD,1.0,1,2,304,5.0,4.0
RUBICON CRT,5.0,17.0,6.0,16.0,18.0,13.0,RUSTIC RD,49.0,313,,,5.0,11.0
RUBY LANG LANE,1.0,97.0,18.0,78.0,3.0,37.0,RUSTIC RD,355.0,477,310,448X,5.0,6.0
RUBYDALE GDNS,5.0,45.0,6.0,40.0,7.0,3.0,RUSTIC RD,,,450,450,5.0,7.0
RUDDELL PL,3.0,15.0,,,25.0,38.0,RUSTIC RD,,,452X,452X,5.0,6.0
RUDDINGTON DR,11.0,17.0,10.0,10.0,17.0,17.0,RUSTIC RD,497.0,587,512,586,5.0,8.0
RUDDINGTON DR,75.0,75.0,50.0,70.0,17.0,16.0,RUSTY CRESTWAY,1.0,187,2,178,17.0,39.0
RUDEN CRES,11.0,49.0,2.0,50.0,16.0,1.0,RUSTYWOOD DR,1.0,29,4,50,16.0,14.0
RUFFORD RD,3.0,35.0,2.0,34.0,3.0,85.0,RUTH AVE,219.0,459,220,498,18.0,13.0
RUMI CRES,,,24.0,52.0,16.0,67.0,RUTHERFORD AVE,1.0,57,2,60,5.0,45.0
RUMNEY RD,1.0,7.0,,,19.0,17.0,RUTHERGLEN RD,1.0,15,2,16,15.0,52.0
RUMSEY RD,1.0,35.0,4.0,34.0,15.0,53.0,RUTHMAR CRES,7.0,77,6,100,7.0,14.0
RUMSEY RD,37.0,113.0,36.0,110.0,15.0,52.0,RUTHVEN PL,1.0,9,2,12,5.0,63.0
RUMSEY RD,115.0,205.0,,,15.0,50.0,RUTLAND ST,,,10,62,9.0,14.0
RUMSEY RD,,,164.0,272.0,15.0,51.0,RUTLAND ST,23.0,65,,,9.0,16.0
RUMSEY RD,207.0,339.0,274.0,340.0,15.0,32.0,RUTLEDGE AVE,3.0,37,2,26,21.0,49.0
RUMSEY RD,345.0,347.0,,,15.0,31.0,RUTTAN ST,1.0,21,,,9.0,33.0
RUNNYMEDE RD,1.0,121.0,2.0,242.0,4.0,41.0,RUTTER GT,1.0,1,2,2,24.0,46.0
RUNNYMEDE RD,255.0,447.0,270.0,500.0,4.0,38.0,RYDING AVE,99.0,369,116,350,5.0,61.0
RUNNYMEDE RD,461.0,609.0,,,4.0,8.0,RYE MEADOWAY,1.0,19,,,17.0,9.0
RUNNYMEDE RD,,,508.0,602.0,4.0,6.0,RYECLIFFE CRT,1.0,25,2,18,25.0,26.0
RUNNYMEDE RD,,,618.0,650.0,4.0,5.0,RYERSON AVE,11.0,77,2,60,10.0,14.0
RUNNYMEDE RD,625.0,625.0,,,4.0,7.0,RYEWOOD DR,1.0,37,6,28,7.0,50.0
RUNNYMEDE RD,637.0,685.0,,,4.0,5.0,RYKERT CRES,1.0,121,4,134,15.0,34.0
RUNNYMEDE RD,701.0,741.0,,,5.0,61.0,RYLANDER BLVD,65.0,111,6,116,25.0,26.0
RUNNYMEDE RD,,,750.0,858.0,5.0,59.0,RYMER RD,1.0,3,2,4,2.0,48.0
RUNNYMEDE RD,817.0,959.0,868.0,958.0,5.0,60.0,SABER CRT,7.0,15,6,14,18.0,26.0
RUPERT ST,1.0,33.0,2.0,34.0,20.0,42.0,SABINE RD,1.0,29,2,24,2.0,31.0
RURAL AVE,5.0,39.0,16.0,30.0,23.0,51.0,SABLE ST,19.0,27,12,26,5.0,31.0
RUSCICA DR,11.0,43.0,24.0,114.0,16.0,33.0,SABRINA DR,1.0,105,2,140,2.0,1.0
RUSCICA DR,53.0,117.0,,,16.0,35.0,SACHEMS PL,5.0,37,2,30,23.0,39.0
RUSCOE CRES,1.0,49.0,2.0,64.0,2.0,19.0,SACKVILLE PL,25.0,33,2,32,13.0,29.0
RUSHBROOKE AVE,1.0,109.0,2.0,102.0,14.0,48.0,SACKVILLE ST,19.0,117A,2,118,13.0,80.0
RUSHLEY DR,5.0,85.0,2.0,102.0,21.0,39.0,SACKVILLE ST,123.0,325,122,274,13.0,63.0
RUSHOLME DR,7.0,45.0,2.0,44.0,9.0,43.0,SACKVILLE ST,331.0,503,284,450,13.0,29.0
RUSHOLME PARK CRES,3.0,65.0,2.0,36.0,9.0,39.0,SADDLE RIDGE DR,51.0,73,52,78,16.0,67.0
RUSHOLME RD,1.0,81.0,10.0,48.0,9.0,43.0,SADDLEBACK CRT,3.0,57,,,25.0,20.0
RUSHOLME RD,83.0,101.0,50.0,84.0,9.0,39.0,SADDLETREE DR,1.0,73,2,76,17.0,13.0
RUSHOLME RD,111.0,381.0,,,9.0,37.0,SADLEE COVE CRES,3.0,127,4,136,23.0,5.0
RUSHOLME RD,,,128.0,276.0,9.0,36.0,SADLER DR,3.0,17,,,20.0,42.0
RUSHOLME RD,,,314.0,388.0,9.0,37.0,SADLER DR,,,10,28,20.0,44.0
RUSHTON RD,139.0,259.0,142.0,270.0,12.0,57.0,SAFARI ST,1.0,43,4,44,20.0,16.0
RUSHTON RD,281.0,309.0,280.0,308.0,12.0,54.0,SAFFRON CRES,3.0,35,4,44,2.0,48.0
RUSHTON RD,311.0,639.0,310.0,632.0,12.0,52.0,SAGAMORE CRES,1.0,23,4,44,2.0,29.0
RUSKIN AVE,1.0,73.0,2.0,26.0,9.0,20.0,SAGE AVE,1.0,27,,,8.0,19.0
RUSSELL HILL DR,,,2.0,8.0,12.0,62.0,SAGE AVE,,,6,26,8.0,17.0
RUSSELL HILL RD,23.0,265.0,,,12.0,64.0,SAGEBRUSH LANE,1.0,49,,,16.0,12.0
RUSSELL HILL RD,,,32.0,34.0,12.0,69.0,SAGEWOOD DR,3.0,33,2,32,15.0,13.0
RUSSELL HILL RD,,,36.0,260.0,12.0,64.0,SAGRES CRES,1.0,27,2,20,9.0,13.0
RUSSELL HILL RD,271.0,317.0,290.0,340.0,12.0,42.0,SAGUENAY AVE,1.0,21X,,,8.0,44.0
RUSSELL HILL RD,365.0,505.0,350.0,508.0,12.0,43.0,SAGUENAY AVE,45.0,55,48,58,8.0,40.0
RUSSELL HILL RD,521.0,555.0,528.0,540.0,12.0,12.0,SAINTFIELD AVE,3.0,51,2,46,15.0,15.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
SAINTSBURY SQ,3,75,2,74,23.0,14.0,SANDHURST CRCL,1001.0,1131.0,1070.0,1112,23.0,18.0
SALAMANDER ST,3,53,4,54,25.0,1.0,SANDHURST CRCL,1571.0,1571.0,1144.0,1550,23.0,22.0
SALEM AVE,3,237,2A,234,9.0,25.0,SANDHURST CRCL,,,1580.0,1600,23.0,21.0
SALEM AVE,257,343,252,332,9.0,24.0,SANDHURST GT,1.0,3.0,2.0,4,24.0,32.0
SALEM AVE N,401,527,402,530,9.0,22.0,SANDOVER DR,,,10.0,10,16.0,4.0
SALINAS CRT,,,4,30,8.0,47.0,SANDOWN AVE,,,2.0,4X,20.0,37.0
SALINGER CRT,1,11,6,12,17.0,36.0,SANDOWN AVE,17.0,147.0,10.0,146X,20.0,32.0
SALISBURY AVE,7,55,6,82,13.0,29.0,SANDPIPER CRT,1.0,11.0,8.0,12,16.0,21.0
SALOME DR,25,135,50,100,23.0,51.0,SANDRA RD,5.0,9.0,4.0,4,19.0,1.0
SALONICA RD,3,27,6,38,15.0,15.0,SANDRIFT SQ,1.0,85.0,4.0,82,24.0,10.0
SALVADOR ALLENDE,1,35,2,20,12.0,73.0,SANDRINGHAM DR,21.0,59.0,2.0,80,8.0,1.0
CRT,,,,,,,SANDRINGHAM DR,93.0,291.0,90.0,290,6.0,34.0
SALVI CRT,,,6,20,16.0,33.0,SANDSTONE LANE,1.0,35.0,2.0,40,14.0,27.0
SAM FRUSTAGLIO DR,3,63,2,66,5.0,25.0,SANDWELL DR,,,2.0,14,2.0,1.0
SAM FRUSTAGLIO DR,77,83,68,104,5.0,23.0,SANDWELL DR,15.0,65.0,18.0,32,2.0,2.0
SAMBA DR,7,89,6,90,7.0,48.0,SANDY HAVEN DR,3.0,163.0,4.0,158,22.0,11.0
SAMMON AVE,9,71,2,58,14.0,20.0,SANDYHOOK SQ,3.0,159.0,18.0,138,22.0,3.0
SAMMON AVE,,,96,202B,14.0,9.0,SANTA BARBARA RD,15.0,141.0,26.0,136,18.0,28.0
SAMMON AVE,97,201,,,14.0,24.0,SANTAMONICA BLVD,1.0,103.0,20.0,124,20.0,44.0
SAMMON AVE,233,305A,226,326,14.0,8.0,SANTAMONICA BLVD,151.0,209.0,126.0,214,20.0,6.0
SAMMON AVE,307,551A,,,14.0,53.0,SANWIN CRT,1.0,11.0,2.0,10,17.0,36.0
SAMMON AVE,,,330,506,14.0,7.0,SANWOOD BLVD,1.0,153.0,,,22.0,12.0
SAMMON AVE,553,753,650,716,19.0,19.0,SANWOOD BLVD,,,2.0,18,22.0,4.0
SAMMON AVE,755,845,750,840,19.0,24.0,SANWOOD BLVD,,,20.0,150,22.0,12.0
SAMMON AVE,853,859,,,19.0,26.0,SAPLING CRT,1.0,15.0,2.0,16,2.0,78.0
SAMOR RD,33,77,40,64,8.0,16.0,SARABAND ST,1.0,11.0,2.0,12,1.0,24.0
SAMPSON MEWS,,,6,8,16.0,26.0,SARAH ASHBRIDGE AVE,21.0,119.0,20.0,118,19.0,52.0
SAMSON CRES,1,79,2,62,24.0,35.0,SARAH JACKSON CRES,43.0,47.0,2.0,48,6.0,40.0
SAMUEL TEITEL CRT,1,21R,2,22,25.0,10.0,SARALOU CRT,1.0,9.0,2.0,30,2.0,62.0
SAMYA CRT,7,35,20,36,21.0,52.0,SARANAC BLVD,15.0,25.0,6.0,46,8.0,30.0
SAN ANTONIOWAY,,,2,18,7.0,3.0,SARANAC BLVD,35.0,35.0,,,8.0,33.0
SAN CARMELOWAY,1,15,2,16,7.0,49.0,SARATOGA DR,1.0,47.0,2.0,54,21.0,18.0
SAN GABRIELE PL,5,105,4,60,7.0,5.0,SARGENT LANE,,,6.0,22,19.0,44.0
SAN MARINOWAY,79,79,2,78,7.0,49.0,SARI CRES,1.0,31.0,16.0,20,24.0,42.0
SAN PIETROWAY,1,45,,,7.0,3.0,SARNIA AVE,23.0,25.0,6.0,28,9.0,20.0
SAN REMO TER,1,57,20,50,3.0,37.0,SASKATCHEWAN RD,15.0,15.0,6.0,14,10.0,8.0
SAN ROBERTOWAY,1,35,26,34,7.0,51.0,SASKATOON DR,1.0,101.0,2.0,118,2.0,7.0
SAN ROMANOWAY,5,25,10,10,7.0,16.0,SATCHELL BLVD,1.0,83.0,2.0,80,25.0,38.0
SAN VITOWAY,1,23,2,24,7.0,51.0,SATOK TER,1.0,75.0,4.0,68,25.0,48.0
SANAGAN RD,1,35,20,20,1.0,21.0,SATTERLY RD,,,2.0,28A,7.0,2.0
SANCREST DR,1,55,4,54,21.0,18.0,SATURN RD,111.0,141.0,102.0,136,2.0,73.0
SANCTBURY PL,1,45,2,20,2.0,29.0,SAUGEEN CRES,1.0,71.0,2.0,76,20.0,9.0
SAND BEACH RD,1,1,,,3.0,66.0,SAULTER ST,25.0,81.0,12.0,84,14.0,51.0
SAND BEACH RD,1A,5,2,12,3.0,67.0,SAULTER ST S,3.0,115.0,,,14.0,51.0
SAND FERNWAY,1,11,2,10,17.0,39.0,SAUNDERS AVE,15.0,31.0,2.0,34,4.0,57.0
SANDALE GDNS,5,47,6,44,6.0,22.0,SAUNDERS CRES,1.0,13.0,2.0,14,3.0,32.0
SANDALWOOD PL,1,21,2,18,16.0,23.0,SAUNDERS RD,7.0,35.0,4.0,34,24.0,47.0
SANDBAR WILLOWAY,9,35,4,28,17.0,42.0,SAUNDERS ST,7.0,15.0,8.0,32,8.0,4.0
SANDBOURNE CRES,1,67,2,66,17.0,27.0,SAVALON CRT,1.0,9.0,2.0,10,2.0,43.0
SANDCLIFF RD,3,43,2,74,5.0,56.0,SAVANNA DR,1.0,5.0,2.0,8,25.0,18.0
SANDERLING PL,23,37,20,38,16.0,26.0,SAVARIN ST,1.0,51.0,4.0,50,21.0,62.0
SANDERSON RD,1,27,6,30,1.0,18.0,SAVONA DR,1.0,87.0,2.0,70,3.0,85.0
SANDERSTEAD AVE,1,43,6,46,8.0,48.0,SAVOY AVE,1.0,25.0,2.0,24,19.0,17.0
SANDFIELD RD,1,63,2,64,15.0,13.0,SAWDEN AVE,1.0,13.0,2.0,12,14.0,44.0
SANDFORD AVE,1,43,2,58,14.0,39.0,SAWLEY DR,5.0,53.0,2.0,72,17.0,17.0
SANDHILL DR,1,11,,,1.0,18.0,SAWMILL RD,1.0,39.0,18.0,146,7.0,54.0
SANDHURST CRCL,1,101,2,70X,23.0,29.0,SAWMILL RD,45.0,145.0,,,7.0,52.0
SANDHURST CRCL,801,821,500,600,23.0,30.0,SAXONY CRES,1.0,25.0,2.0,12,2.0,10.0
STREET NAME                   ODD               EVEN             WD SUB        STREET NAME                   ODD               EVEN             WD SUB,,,,,,,,,,,,,
SAYBROOK AVE,1,85.0,,,3.0,26.0,SCHOONER LANE,1.0,43.0,,,25.0,31.0
SAYBROOK AVE,,,4,86.0,3.0,24.0,SCHUBERT DR,3.0,39.0,4,38.0,24.0,41.0
